SOURCE_ENDPOINT,LOAD_TYPE,PROCESS_ID,SOURCE_TABLE
SAP_UNACEM_EC,full,10,CSDSALESORGDX
SAP_UNACEM_EC,full,10,IFICOMPANYCODE
SAP_UNACEM_EC,full,10,IFIJOURNALENT
SAP_UNACEM_EC,full,10,ILEDELIVDOC
SAP_UNACEM_EC,full,10,IPRODUCT
SAP_UNACEM_EC,full,10,ISDBILLGDOCTYPET
SAP_UNACEM_EC,full,10,ISDSALESDOCTYPET
SAP_UNACEM_EC,full,10,ZIACCTSHIPCSTIT
SAP_UNACEM_EC,full,10,ZIACMGENDOMVH   
SAP_UNACEM_EC,full,10,ZIADDRESS
SAP_UNACEM_EC,full,10,ZIBILLDOCBASDEX
SAP_UNACEM_EC,full,10,ZIBILLDOCITMB
SAP_UNACEM_EC,full,10,ZICHARVALDEX    
SAP_UNACEM_EC,full,10,ZICKMLHD
SAP_UNACEM_EC,full,10,ZICNDTNITM
SAP_UNACEM_EC,full,10,ZICONSCAT
SAP_UNACEM_EC,full,10,ZICONSTANT01
SAP_UNACEM_EC,full,10,ZICOSTELET
SAP_UNACEM_EC,full,10,ZICTA508
SAP_UNACEM_EC,full,10,ZICUSTGRP1TEXT_CDC
SAP_UNACEM_EC,full,10,ZICUSTGRP4TEXT
SAP_UNACEM_EC,full,10,ZIFCMLMATLEDGDOC
SAP_UNACEM_EC,full,10,ZIHANDUNITMDX
SAP_UNACEM_EC,full,10,ZIMATVALUATION
SAP_UNACEM_EC,full,10,ZIOPCSEG
SAP_UNACEM_EC,full,10,ZIPAYMENTTERMS
SAP_UNACEM_EC,full,10,ZIPRDSALESDELIV
SAP_UNACEM_EC,full,10,ZIROUTETEXT
SAP_UNACEM_EC,full,10,ZISALESZONETEXT
SAP_UNACEM_EC,full,10,ZISEGSOCCLI
SAP_UNACEM_EC,full,10,ZIVALUATIONAREA
SAP_UNACEM_EC,full,10,ZICTA002
SAP_UNACEM_EC,full,10,ZICTA902
SAP_UNACEM_EC,full,10,ZICUSTGRP1TEXT
SAP_UNACEM_EC,full,10,ZICUSTGRPTEXT
SAP_UNACEM_EC,full,10,ZIFICOSTCOMP
SAP_UNACEM_EC,full,10,ZIINTERCHARACTXT
SAP_UNACEM_EC,full,10,ZIMDCUSTSLSAREA
SAP_UNACEM_EC,full,10,ZIORDERDELIVOS
SAP_UNACEM_EC,full,10,ZIPAYTERCONTEXT
SAP_UNACEM_EC,full,10,ZIPRODUCTTEXT
SAP_UNACEM_EC,full,10,ZISALESDOBASDEX
SAP_UNACEM_EC,full,10,ZISDSLSDISTRICTT
SAP_UNACEM_EC,full,10,ZISHIPMENTITEM
SAP_UNACEM_EC,full,10,ZIZREGIONTEXT
SAP_UNACEM_EC,full,10,ZICTA502
SAP_UNACEM_EC,full,10,ZICTA925
SAP_UNACEM_EC,full,10,ZICUSTGRP2TEXT
SAP_UNACEM_EC,full,10,ZICUSTOMER
SAP_UNACEM_EC,full,10,ZIFIFYEARPERIOD
SAP_UNACEM_EC,full,10,ZILEDELIVDOCITEM
SAP_UNACEM_EC,full,10,ZIMLDOCCCS
SAP_UNACEM_EC,full,10,ZIORDERDELIVSD
SAP_UNACEM_EC,full,10,ZIPICKUPORDER
SAP_UNACEM_EC,full,10,ZIPROVINCETEXT
SAP_UNACEM_EC,full,10,ZISALESDOCDELD
SAP_UNACEM_EC,full,10,ZISDSLSDOCITMDX1
SAP_UNACEM_EC,full,10,ZITERMSPAYTEXT
SAP_UNACEM_EC,full,10,ZPPROCMTALTV
SAP_UNACEM_EC,full,10,ZICTA504
SAP_UNACEM_EC,full,10,ZICTSALESORGMAT
SAP_UNACEM_EC,full,10,ZICUSTGRP3TEXT
SAP_UNACEM_EC,full,10,ZICUSTOMERCOMP
SAP_UNACEM_EC,full,10,ZIFIPAYTERMSTXT
SAP_UNACEM_EC,full,10,ZIMATERIALPLANT
SAP_UNACEM_EC,full,10,ZIMLDOCXTRCTR
SAP_UNACEM_EC,full,10,ZIPAYMENTMETHOD
SAP_UNACEM_EC,full,10,ZIPLANT
SAP_UNACEM_EC,full,10,ZIREGIONTEXT
SAP_UNACEM_EC,full,10,ZISALESDOCPARTN
SAP_UNACEM_EC,full,10,ZISEGMENTOS
SAP_UNACEM_EC,full,10,ZITRANSPZONETEXT
SAP_UNACEM_EC,full,10,ZSDSLSDOCBIZDAT
SAP_UNACEM_EC,full,10,ZICTA506
SAP_UNACEM_EC,full,10,ZICUSSALPARTF
